nom;idparking;commune;insee;proprietaire;parkingtempsreel;capacite;capacite2rm;capacitevelo;capaciteautopartage;capacitepmr;usage;vocation;reglementation;fermeture
Espace Pierre Poivre;P1041;Chassieu;69271;GRAND LYON;False;42;0;0;0;2;Mixte;Mixte;Gratuit;Ouvert 24h/24h
Gare des Echets;P1072;;;;False;85;;;0;;Libre;Mixte;Gratuit;Ouvert 24h/24h
Club 3e age;P701;Jonage;69279;COMMUNE;False;25;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Carnot Egalité;P656;Décines-Charpieu;69275;;False;24;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Stade René Rollet;P241;Champagne-au-Mont-d'Or;69040;GRAND LYON;False;44;0;6;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
CC Sept chemins;P148;Vaulx-en-Velin;69256;PRIVE;False;1800;;;0;10;Libre;Commerciale;Gratuit;Ouvert 24h/24h
P+R Parilly;P53;Vénissieux;69259;SYTRAL;True;310;0;0;0;6;Libre;;Gratuit;Nuit
Cimetière;P501;La Tour-de-Salvagny;69250;COMMUNE;False;20;0;0;0;0;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Porte des Monts d'Or;P204;Albigny-sur-Saône;69003;COMMUNE;False;10;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Piscine de Vaise;P892;Lyon 9e Arrondissement;69389;COMMUNE;False;70;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Parking P5 - Aéroport Lyon - St-Exupéry;P1055;;;Aéroport Saint Exupé;True;6898;;0;0;2;Horaire;Commerciale;Payant;Ouvert 24h/24h
La Rochère;P805;Grigny;69096;GRAND LYON;False;12;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Complexe sportif Moulin Caron;P313;Dardilly;69072;GRAND LYON;False;67;0;4;0;2;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Victor Hugo;P400;Feyzin;69276;GRAND LYON;False;4;0;0;0;0;Libre;Résidentielle;Gratuit;Ouvert 24h/24h
Place Anatole France;P340;Oullins;69149;GRAND LYON;False;100;;;;1;Horaire;Mixte;Payant;Marché
Gare de Chaponost;P1082;;;;False;65;;;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Maison Champ;P681;Saint-Genis-Laval;69204;GRAND LYON;False;37;0;0;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h
Rue du Musée;P612;Rochetaillée-sur-Saône;69168;COMMUNE;False;15;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Boulodrome;P206;Bron;69029;COMMUNE;False;110;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Palais des Sports;P751;Lyon 7e Arrondissement;69387;GRAND LYON;False;850;0;0;0;0;Libre;Evènementielle;Gratuit;Nuit
Cimetière;P699;Jonage;69279;COMMUNE;False;60;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Poumeyrol Ouest;P548;Caluire-et-Cuire;69034;GRAND LYON;False;80;0;0;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h
Médiathèque;P599;Vénissieux;69259;COMMUNE;False;43;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h
Platanes;P415;Saint-Fons;69199;GRAND LYON;False;70;0;6;0;2;Libre;Commerciale;Zone bleue;Ouvert 24h/24h
CC Taffignon;P147;Francheville;69089;PRIVE;False;1120;;;0;20;Libre;Commerciale;Gratuit;Nuit
Bois de la Lune;P464;Charbonnières-les-Bains;69044;;False;6;0;0;0;0;Libre;Résidentielle;Gratuit;Ouvert 24h/24h
Ecole du Centre;P603;Vénissieux;69259;GRAND LYON;False;32;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Le Bol d'Air;P574;Dardilly;69072;COMMUNE;False;26;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Stade nautique Lucien Bonnard;P639;Grigny;69096;GRAND LYON;False;4;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h
Bottet;P352;Rillieux-la-Pape;69286;SEDA;False;250;0;0;0;2;Libre;Commerciale;Gratuit;Ouvert 24h/24h
P+R Mermoz;P66;Bron;69029;SYTRAL;True;416;0;30;0;10;Libre;;Gratuit;Nuit
Montanay - Poype;P9008;Montanay;69284;;;;;;;;;;;
Poleymieux - Gambins;P9019;Poleymieux-au-Mont-d'Or;69153;;;;;;;;;;;
Parking rue Boutan;P1098;Irigny;69100;GRAND LYON;;;;;;;Libre;;;Ouvert 24h/24h
Place du Repos;P358;Francheville;69089;GRAND LYON;False;44;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Place de l'Eglise;P954;Quincieux;69163;COMMUNE;False;29;0;0;0;1;;Mixte;Gratuit;Ouvert 24h/24h
Halle marchand;P384;Genay;69278;COMMUNE;False;10;0;0;0;0;Libre;;Gratuit;Nuit
Charles de Gaulle A;P815;Grigny;69096;GRAND LYON;False;11;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Parking P2 - Aéroport Lyon - St-Exupéry;P1053;;;Aéroport Saint Exupé;True;679;;0;0;12;Horaire;Commerciale;Payant;Ouvert 24h/24h
Gare de Saint Quentin Fallavier;P1086;;;;False;80;;;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h
Parking des Roberdières;P1052;Chassieu;69271;COMMUNE;False;50;;;;;Libre;;Gratuit;Ouvert 24h/24h
Place Louis Danis;P371;Sathonay-Village;69293;COMMUNE;False;60;0;6;0;1;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
La petite enfance;P265;Vernaison;69260;COMMUNE;False;37;0;0;0;2;Libre;;Gratuit;Ouvert 24h/24h
Chemin du Barthélémy;P242;Charbonnières-les-Bains;69044;GRAND LYON;False;12;0;8;0;1;Libre;Commerciale;Zone bleue;Ouvert 24h/24h
Parking Célestins;P12;Lyon 2e Arrondissement;69382;GRAND LYON;True;411;40;55;2;;Mixte;Mixte;Payant;Ouvert 24h/24h
Vassieux Strasbourg;P552;Caluire-et-Cuire;69034;GRAND LYON;False;18;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Place Maurice Bariod;P882;Lyon 9e Arrondissement;69389;GRAND LYON;False;25;0;0;0;0;Libre;Résidentielle;Gratuit;Ouvert 24h/24h
Place Jean Moulin;P589;Bron;69029;GRAND LYON;False;100;0;4;0;0;Horaire;Mixte;Gratuit;Ouvert 24h/24h
Marius Dorée;P468;Vernaison;69260;GRAND LYON;False;22;0;0;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h
Vitacuire/Kuehne Nagel;P9020;Meyzieu;69282;;;;;;;;;;;
La Grande Charrière;P405;Genay;69278;COMMUNE;False;4;0;0;0;0;Libre;Résidentielle;Gratuit;Ouvert 24h/24h
Pollionnay - Médiathèque;P973;;;COMMUNE;False;25;;;;;Libre;;Gratuit;Ouvert 24h/24h
Collège;P784;Mions;69283;GRAND LYON;False;54;0;4;0;0;Libre;;Gratuit;Ouvert 24h/24h
Place de Manissieux;P866;Saint-Priest;69290;GRAND LYON;False;23;0;0;0;1;Horaire;Commerciale;Zone bleue;Ouvert 24h/24h
Jean Christophe;P459;Neuville-sur-Saône;69143;GRAND LYON;False;100;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Stade;P801;Montanay;69284;COMMUNE;False;60;0;0;0;0;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Liberté;P809;Grigny;69096;GRAND LYON;False;17;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Esplanade Général Charles de Gaulle;P902;Fontaines-Saint-Martin;69087;COMMUNE;False;27;0;8;0;0;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Yzeron - Mairie;P979;;;COMMUNE;False;25;0;0;0;2;Libre;;Gratuit;Ouvert 24h/24h
Gambetta;P345;Vénissieux;69259;COMMUNE;False;100;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Place Daniel Balavoine;P852;Saint-Priest;69290;GRAND LYON;False;38;0;0;0;2;Libre;Commerciale;Zone bleue;Ouvert 24h/24h
P+R Meyzieu Gare;P48;Meyzieu;69282;SYTRAL;True;103;0;102;0;3;Libre;;Gratuit;Nuit
La Rochelière;P575;Dardilly;69072;COMMUNE;False;48;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Eglise Saint-Maurice;P130;Francheville;69089;PRIVE;False;50;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Parking P3 - Aéroport Lyon - St-Exupéry;P1056;;;;True;170;;0;0;4;Horaire;Commerciale;Payant;Ouvert 24h/24h
La Bottière;P953;Quincieux;69163;COMMUNE;False;30;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Thirard;P437;Saint-Fons;69199;GRAND LYON;False;11;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Faïenciers;P826;Grigny;69096;GRAND LYON;False;15;0;0;0;0;Libre;Résidentielle;Gratuit;Ouvert 24h/24h
Cimetière;P315;Écully;69081;COMMUNE;False;21;;;;;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Métropole;P1094;Vaulx-en-Velin;69256;GRAND LYON;False;16;0;0;0;1;Libre;Mixte;Zone bleue;Ouvert 24h/24h
Eglise;P331;Fleurieu-sur-Saône;69085;COMMUNE;False;18;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Albigny - Gare;P9001;Albigny-sur-Saône;69003;;;;;;;;;;;
Place Masson-Cretin;P516;Saint-Genis-les-Ollières;69205;GRAND LYON;False;3;0;0;0;0;Libre;Commerciale;Zone bleue;Ouvert 24h/24h
Square Croix Tournus;P342;Oullins;69149;COMMUNE;False;25;;;;;Libre;;Gratuit;Ouvert 24h/24h
Gymnase du Raquin;P257;Chassieu;69271;COMMUNE;False;78;;;;2;Libre;;Gratuit;Nuit
Eglise Saint-Claude;P309;Dardilly;69072;COMMUNE;False;25;0;0;0;1;Libre;Mixte;Gratuit;Marché
RPA;P788;Craponne;69069;COMMUNE;False;9;0;0;0;1;Libre;Commerciale;Zone bleue;Ouvert 24h/24h
Parc du Château;P1001;Vaulx-en-Velin;69256;COMMUNE;False;20;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Fort de Champvillard;P916;Irigny;69100;COMMUNE;False;50;0;0;0;1;Libre;;Gratuit;
Place Docteur Chauviré;P388;Genay;69278;GRAND LYON;False;57;0;0;0;0;;;Gratuit;Ouvert 24h/24h
Place de la Mairie (ancien marché);P496;La Tour-de-Salvagny;69250;GRAND LYON;False;25;0;0;0;1;Libre;Commerciale;Zone bleue;Ouvert 24h/24h
Cimetière;P559;Corbas;69273;GRAND LYON;False;17;0;0;0;0;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Halte Ferroviaire Les Flachères;P73;Charbonnières-les-Bains;69044;RFF;False;10;0;4;0;0;Libre;;Gratuit;Ouvert 24h/24h
Macé Alsace;P663;Décines-Charpieu;69275;;False;14;0;0;0;0;Libre;Résidentielle;Gratuit;Ouvert 24h/24h
La Camille;P339;Oullins;69149;COMMUNE;False;100;;;;2;Libre;Mixte;Gratuit;Ouvert 24h/24h
Aqueduc Médiathèque;P312;Dardilly;69072;COMMUNE;False;160;2;2;0;4;Libre;Mixte;Gratuit;Ouvert 24h/24h
Gare de Saint-Germain-au-Mont-d'Or;P97;Saint-Germain-au-Mont-d'Or;69207;GRAND LYON;False;64;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h
Poleymieux - Rivière;P9020;Poleymieux-au-Mont-d'Or;69153;;;;;;;;;;;
Cuzin;P1015;Vaulx-en-Velin;69256;GRAND LYON;False;28;0;6;0;3;Libre;Mixte;Gratuit;Ouvert 24h/24h
Montanay - Mairie;P9016;Montanay;69284;;;;;;;;;;;
Charles de Gaulle;P521;Saint-Genis-les-Ollières;69205;COMMUNE;False;12;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Parking Cité Internationale P1;P28;Lyon 6e Arrondissement;69386;GRAND LYON;True;1155;0;0;;;Mixte;Mixte;Payant;Ouvert 24h/24h
Parking des Pavillons;P231;Caluire-et-Cuire;69034;GRAND LYON;False;17;0;0;0;1;Horaire;Commerciale;Payant;Ouvert 24h/24h
La Poste;P369;Saint-Cyr-au-Mont-d'Or;69191;;False;37;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h
Stade Djorkaeff;P666;Décines-Charpieu;69275;;False;14;0;0;0;0;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Eglise St Pie X;P906;Irigny;69100;PRIVE;False;25;0;0;0;0;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Mouton;P684;Saint-Genis-Laval;69204;;False;22;0;0;0;1;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Marché des Minguettes;P347;Vénissieux;69259;GRAND LYON;False;725;0;0;0;0;Libre;;Gratuit;Marché
St Maurice de Beynost;P952;;;;False;80;;;;2;Libre;;Gratuit;Ouvert 24h/24h
Gare de Brignais;P1083;;;;False;180;;;0;5;Libre;Mixte;Gratuit;Ouvert 24h/24h
Ferrer;P671;Décines-Charpieu;69275;;False;21;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Place Jules Ferry nord;P876;Lyon 6e Arrondissement;69386;;False;90;;;0;1;Horaire;Commerciale;Payant;Ouvert 24h/24h
Croix des Rampeaux A;P818;Grigny;69096;;False;7;0;0;0;0;Libre;Résidentielle;Gratuit;Ouvert 24h/24h
De Gaulle;P470;Vernaison;69260;GRAND LYON;False;16;0;0;0;1;Libre;Commerciale;Gratuit;Ouvert 24h/24h
Parking Hôtel de Ville;P1;Lyon 1er Arrondissement;69381;GRAND LYON;True;208;7;64;4;;Mixte;Mixte;Payant;Ouvert 24h/24h
Place du Vernay;P237;Caluire-et-Cuire;69034;GRAND LYON;False;19;0;0;0;1;Horaire;Commerciale;Payant;Ouvert 24h/24h
CC Carrefour Vénissieux;P144;Vénissieux;69259;PRIVE;False;2000;;;0;12;Libre;Commerciale;Gratuit;Ouvert 24h/24h
Angle Saulnier-Aquitaine;P535;Meyzieu;69282;COMMUNE;False;50;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Gare de Miribel;P1076;;;;False;110;;;0;3;Libre;Mixte;Gratuit;Nuit
Centre aéré;P781;Mions;69283;COMMUNE;False;30;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Place Calmette;P235;Caluire-et-Cuire;69034;GRAND LYON;False;13;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Voute;P447;Neuville-sur-Saône;69143;GRAND LYON;False;55;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Salle des Gratte-Ciel;P592;Villeurbanne;69266;GRAND LYON;False;80;;;;1;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Tennis Club;P252;Charbonnières-les-Bains;69044;GRAND LYON;False;39;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Eglise;P337;Oullins;69149;Privé;False;35;;6;;2;Horaire;Mixte;Payant;Ouvert 24h/24h
Gare de Couzon-au-Mont-d'Or;P75;Couzon-au-Mont-d'Or;69068;RFF;False;7;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h
Libération;P519;Saint-Genis-les-Ollières;69205;GRAND LYON/OPAC;False;25;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Place du Marché;P317;Écully;69081;COMMUNE;False;134;;;;3;Horaire;Commerciale;Payant;Marché
Saint Pierre de Vaise;P890;Lyon 9e Arrondissement;69389;GRAND LYON;False;75;0;0;0;0;Horaire;Mixte;Payant;Ouvert 24h/24h
Gymnase Félix Charron;P221;Bron;69029;CG69;False;12;0;0;0;12;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Stade de Manissieux;P870;Saint-Priest;69290;COMMUNE;False;74;0;0;0;1;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
La Gravière;P408;Saint-Fons;69199;COMMUNE;False;41;0;0;0;2;Libre;;Gratuit;Ouvert 24h/24h
Barthélémy Thimonnier;P551;Caluire-et-Cuire;69034;COMMUNE;False;55;0;0;0;3;Libre;;Gratuit;Ouvert 24h/24h
Place de Serin;P850;Lyon 4e Arrondissement;69384;;False;50;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Parking supérieur de la M@ison de la formation;P628;Grigny;69096;PRIVE;False;35;0;0;0;2;Libre;;Gratuit;Ouvert 24h/24h
Stade;P517;Saint-Genis-les-Ollières;69205;COMMUNE;False;90;0;0;0;0;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
CC Berlioz;P883;Lyon 9e Arrondissement;69389;PRIVE;False;117;0;0;0;0;Libre;Commerciale;Gratuit;Ouvert 24h/24h
COSEC;P401;Feyzin;69276;COMMUNE;False;54;0;0;0;1;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Les Arcades;P776;Mions;69283;PRIVE;False;12;0;0;0;0;Libre;Commerciale;Gratuit;Ouvert 24h/24h
Tribunes;P504;La Tour-de-Salvagny;69250;COMMUNE;False;45;0;0;0;2;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Eglise;P364;Saint-Cyr-au-Mont-d'Or;69191;GRAND LYON;False;41;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h
Jean Tardy;P785;Mions;69283;COMMUNE;False;31;0;0;0;1;Libre;Evènementielle;Gratuit;Nuit
Square Garon;P816;Grigny;69096;GRAND LYON;False;8;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Palais des Sports;P1012;Vaulx-en-Velin;69256;GRAND LYON;False;11;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Parc Brosset;P993;Rillieux-la-Pape;69286;COMMUNE;False;100;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Cours Aristide Briand;P545;Caluire-et-Cuire;69034;GRAND LYON;False;158;0;0;0;0;Horaire;Mixte;Payant;Ouvert 24h/24h
Valence;P424;Saint-Fons;69199;GRAND LYON;False;10;0;0;0;1;Libre;Résidentielle;Gratuit;Ouvert 24h/24h
Gare de l'Arbresle;P1062;;;;;;;48;;;Réservé abonnés;Mixte;Payant;
Toboggan;P790;Décines-Charpieu;69275;;False;75;;;;;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Beaux ombrages;P479;Tassin-la-Demi-Lune;69244;GRAND LYON;;17;0;10;0;0;Horaire;Commerciale;Payant;Ouvert 24h/24h
ZI Montmartin P2;P571;Corbas;69273;GRAND LYON;False;51;;;;;Libre;;Gratuit;Ouvert 24h/24h
Collège G. Martin;P909;Irigny;69100;GRAND LYON;False;7;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Fontaines St Martin;P9024;Fontaines-Saint-Martin;69087;;;;;;;;;;;
P+R Hôpital Feyzin Vénissieux;P58;Vénissieux;69259;SYTRAL;False;80;0;0;0;2;Libre;;Gratuit;Nuit
Emile Eveillé B;P820;Grigny;69096;GRAND LYON;False;10;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Rue du Maréchal Foch;P279;Collonges-au-Mont-d'Or;69063;COMMUNE;False;30;;;;;Libre;;Gratuit;Ouvert 24h/24h
Place des Martyrs de la Résistance;P713;Lyon 3e Arrondissement;69383;GRAND LYON;False;110;5;0;0;0;Horaire;Mixte;Payant;Marché
Salle Concorde;P856;Saint-Priest;69290;GRAND LYON;False;10;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Parking des AFN;P227;Caluire-et-Cuire;69034;COMMUNE;False;128;0;0;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h
Place Louis Pradel;P268;Chassieu;69271;GRAND LYON;False;54;0;0;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h
Police Municipale;P419;Saint-Fons;69199;GRAND LYON;False;35;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
La Poste;P851;La Mulatière;69142;;False;7;0;0;0;0;Libre;Commerciale;Gratuit;Ouvert 24h/24h
Ambroise Paré;P962;Meyzieu;69282;GRAND LYON;False;13;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Collonges - Gare;P9022;Collonges-au-Mont-d'Or;69063;;;;;;;;;;;
Centre Commercial des Balmes;P139;Corbas;69273;PRIVE;False;135;0;0;0;4;Libre;Commerciale;Gratuit;Ouvert 24h/24h
Tennis;P841;La Mulatière;69142;COMMUNE;False;16;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Cimetière;P201;Albigny-sur-Saône;69003;GRAND LYON;False;18;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Place des Collonges;P683;Saint-Genis-Laval;69204;GRAND LYON;False;66;0;0;0;2;Libre;Résidentielle;Gratuit;Ouvert 24h/24h
Place Ferdinand Buisson;P858;Saint-Priest;69290;GRAND LYON;False;171;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Complexe sportif;P374;Sathonay-Village;69293;;False;40;0;3;0;0;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Gare de l'Ilse d'Abeau;P1088;;;;False;110;;;0;3;Libre;Mixte;Gratuit;Ouvert 24h/24h
Biron;P134;Neuville-sur-Saône;69143;Privé;False;6;0;0;0;0;Libre;Résidentielle;Gratuit;Ouvert 24h/24h
Dépose minute école maternelle;P844;La Mulatière;69142;GRAND LYON;False;17;0;0;0;0;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Ancien cimetière de Manissieux;P867;Saint-Priest;69290;GRAND LYON;False;13;0;0;0;1;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
PMU;P708;Saint-Germain-au-Mont-d'Or;69207;GRAND LYON;False;5;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Place de l'Europe;P749;Lyon 6e Arrondissement;69386;GRAND LYON;False;;;;;;Horaire;Commerciale;Payant;Ouvert 24h/24h
G. Raphanel;P533;Meyzieu;69282;COMMUNE;False;62;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Place du 11 novembre;P705;Saint-Germain-au-Mont-d'Or;69207;GRAND LYON;False;70;0;0;0;2;Libre;Commerciale;Zone bleue;Ouvert 24h/24h
Charroi;P378;Saint-Romain-au-Mont-d'Or;69233;GRAND LYON;False;10;0;0;0;0;Libre;Résidentielle;Gratuit;Ouvert 24h/24h
Le Stade;P380;Saint-Romain-au-Mont-d'Or;69233;COMMUNE;False;12;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Capucins;P155;Lyon 1er Arrondissement;69381;PRIVE;False;;;;;;Réservé abonnés;Mixte;Payant;Ouvert 24h/24h
Place Henri Barbusse;P654;Décines-Charpieu;69275;;False;45;0;0;0;1;Libre;Mixte;Gratuit;Marché
P+R Vaise 1;P45;Lyon 9e Arrondissement;69389;SYTRAL;True;521;0;100;0;10;Réservé abonnés;;Gratuit;Nuit
Hôtel de Ville;P343;Saint-Priest;69290;COMMUNE;False;120;;;;1;Libre;;Gratuit;Ouvert 24h/24h
Square Villevert;P205;Albigny-sur-Saône;69003;GRAND LYON;False;32;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h
J. Comte;P786;Fleurieu-sur-Saône;69085;GRAND LYON;False;8;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h
Thurins - Route d'Yzeron;P976;;;COMMUNE;False;51;;;;;Libre;;Gratuit;Ouvert 24h/24h
Jean-Baptiste Freney;P254;Charly;69046;GRAND LYON;False;34;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Parking Croix-Rousse;P21;Lyon 4e Arrondissement;69384;GRAND LYON;False;333;51;55;3;;Mixte;Mixte;Payant;Ouvert 24h/24h
Jean Cocteau;P868;Saint-Priest;69290;GRAND LYON;False;60;0;0;0;3;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Ancien Collège;P436;Neuville-sur-Saône;69143;COMMUNE;False;10;0;0;0;2;Horaire;Commerciale;Payant;Ouvert 24h/24h
Commerces 14 place Général de Gaulle;P694;Jonage;69279;COMMUNE;False;18;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Parc de Parilly;P983;Bron;69029;GRAND LYON;False;140;0;0;0;0;Libre;;Gratuit;Nuit
Jacques;P458;Neuville-sur-Saône;69143;COMMUNE;False;19;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Ancienne caserne;P494;La Tour-de-Salvagny;69250;COMMUNE;False;27;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Mairie;P270;Chassieu;69271;COMMUNE;False;50;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Poste;P697;Jonage;69279;COMMUNE;False;27;1;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Espace Michel Favier;P636;Grigny;69096;GRAND LYON;False;6;0;0;0;0;Libre;Résidentielle;Gratuit;Ouvert 24h/24h
ZAC;P791;Décines-Charpieu;69275;GRAND LYON;False;55;0;0;0;4;Horaire;Commerciale;Zone bleue;Ouvert 24h/24h
Place de la Mairie;P728;Charly;69046;GRAND LYON;False;10;0;0;0;0;Libre;Mixte;Gratuit;
Place Claudius Béry;P326;Feyzin;69276;GRAND LYON;False;55;;;;;Libre;Mixte;Gratuit;Marché
Place République-Chemin de la Place;P1049;Chassieu;69271;COMMUNE;False;14;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Gare de la Valbonne;P1080;;;;False;30;;;0;5;Libre;Mixte;Gratuit;Ouvert 24h/24h
Cimetière;P710;Saint-Germain-au-Mont-d'Or;69207;;False;23;;;;;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Jean-Baptiste Anjolvy 2;P292;Couzon-au-Mont-d'Or;69068;COMMUNE;False;29;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Ecole CRS;P1034;Chassieu;69271;GRAND LYON;False;12;0;0;0;0;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Pomme;P833;Tassin-la-Demi-Lune;69244;COMMUNE;False;10;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Place de la Liberté;P216;Bron;69029;GRAND LYON;False;400;0;0;0;6;Libre;;Gratuit;Marché
Salle polyvalente;P256;Charly;69046;COMMUNE;False;38;0;0;0;1;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Place Jacques Reynaud;P864;Saint-Priest;69290;PRIVE;False;14;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Ancienne Mairie;P357;Francheville;69089;GRAND LYON;False;14;0;4;0;1;Libre;Mixte;Zone bleue;Ouvert 24h/24h
Place Lassalle;P439;Saint-Cyr-au-Mont-d'Or;69191;GRAND LYON;False;5;0;0;0;0;Libre;Résidentielle;Gratuit;Ouvert 24h/24h
Place de la Libération;P316;Écully;69081;GRAND LYON;False;49;;;;3;Horaire;Commerciale;Payant;Ouvert 24h/24h
Rue de la Plage;P278;Collonges-au-Mont-d'Or;69063;COMMUNE;False;250;;;;;Libre;;Gratuit;Ouvert 24h/24h
Maréchal Leclerc;P255;Charly;69046;COMMUNE;False;70;0;10;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Place Jean Fleury Coponat;P267;Chassieu;69271;GRAND LYON;False;95;0;0;0;0;Libre;Mixte;Gratuit;Marché
Pierre Terrasse;P226;Caluire-et-Cuire;69034;COMMUNE;False;21;0;0;0;0;Horaire;Commerciale;Payant;Ouvert 24h/24h
Mairie;P462;Neuville-sur-Saône;69143;GRAND LYON;False;47;0;5;0;3;Horaire;Commerciale;Payant;Ouvert 24h/24h
Batiloc;P9016;Jonage;69279;;;;;;;;;;;
